workload,middleware,input_type,n,p,mean_ms,std_ms,speedup,efficiency
fir,openmp,downloaded,2097152,1,179.6477,0.2407,1.1005,1.1005
fir,openmp,downloaded,2097152,2,90.191,0.0842,2.1921,1.0961
fir,openmp,downloaded,2097152,4,45.7795,0.1743,4.3187,1.0797
fir,openmp,downloaded,2097152,8,23.0351,0.2007,8.583,1.0729
fir,openmp,downloaded,2097152,16,12.0036,0.1144,16.4709,1.0294
fir,openmp,downloaded,2097152,32,7.1411,0.2644,27.6861,0.8652
fir,pthreads,downloaded,2097152,1,224.3501,3.9338,0.8813,0.8813
fir,pthreads,downloaded,2097152,2,117.5752,3.0368,1.6816,0.8408
fir,pthreads,downloaded,2097152,4,67.4539,2.4725,2.931,0.7328
fir,pthreads,downloaded,2097152,8,42.6298,1.1597,4.6378,0.5797
fir,pthreads,downloaded,2097152,16,22.1764,3.943,8.9153,0.5572
fir,pthreads,downloaded,2097152,32,16.9914,1.8422,11.6358,0.3636
fft,baseline,generated,4194304,1,619.2647,18.2681,1.0,1.0
fft,mpi,generated,4194304,1,508.8157,0.882,1.0,1.0
fft,mpi,generated,4194304,2,251.3801,1.4636,2.0241,1.012
fft,mpi,generated,4194304,4,106.8948,11.8738,4.76,1.19
fft,mpi,generated,4194304,8,56.7434,9.7578,8.967,1.1209
fft,mpi,generated,4194304,16,20.2383,0.7297,25.1413,1.5713
fft,mpi,generated,4194304,32,13.734,4.8504,37.0479,1.1577
fft,openmp,generated,4194304,1,560.8685,5.1592,1.1041,1.1041
fft,openmp,generated,4194304,2,485.0327,6.2474,1.2767,0.6384
fft,openmp,generated,4194304,4,445.3732,5.8426,1.3904,0.3476
fft,openmp,generated,4194304,8,420.2698,7.5137,1.4735,0.1842
fft,openmp,generated,4194304,16,407.9515,2.6071,1.518,0.0949
fft,openmp,generated,4194304,32,408.1135,10.2427,1.5174,0.0474
fft,pthreads,generated,4194304,1,393.7643,2.752,1.5727,1.5727
fft,pthreads,generated,4194304,2,333.7692,3.4508,1.8554,0.9277
fft,pthreads,generated,4194304,4,305.2146,1.987,2.0289,0.5072
fft,pthreads,generated,4194304,8,281.323,2.9142,2.2013,0.2752
fft,pthreads,generated,4194304,16,267.7261,3.6955,2.3131,0.1446
fft,pthreads,generated,4194304,32,268.8486,4.909,2.3034,0.072
fir,baseline,generated,4194304,1,394.4194,2.3207,1.0,1.0
fir,mpi,generated,4194304,1,323.3939,0.2364,1.0,1.0
fir,mpi,generated,4194304,2,161.9677,0.1013,1.9967,0.9983
fir,mpi,generated,4194304,4,81.2892,0.1345,3.9783,0.9946
fir,mpi,generated,4194304,8,41.0875,0.1859,7.8709,0.9839
fir,mpi,generated,4194304,16,20.6759,0.0637,15.6411,0.9776
fir,mpi,generated,4194304,32,28.799,6.32,11.2294,0.3509
fir,openmp,generated,4194304,1,359.1345,0.8035,1.0982,1.0982
fir,openmp,generated,4194304,2,180.0977,0.7277,2.19,1.095
fir,openmp,generated,4194304,4,90.3745,0.3894,4.3643,1.0911
fir,openmp,generated,4194304,8,45.6572,0.3529,8.6387,1.0798
fir,openmp,generated,4194304,16,23.4283,0.2514,16.8351,1.0522
fir,openmp,generated,4194304,32,12.8155,0.2523,30.7767,0.9618
fir,pthreads,generated,4194304,1,435.6806,1.8016,0.9053,0.9053
fir,pthreads,generated,4194304,2,222.1527,4.3689,1.7754,0.8877
fir,pthreads,generated,4194304,4,120.3506,4.2752,3.2773,0.8193
fir,pthreads,generated,4194304,8,70.3578,1.4048,5.6059,0.7007
fir,pthreads,generated,4194304,16,39.6882,5.244,9.9379,0.6211
fir,pthreads,generated,4194304,32,35.6115,5.4653,11.0756,0.3461
fft,baseline,downloaded,4194304,1,615.1808,6.8502,1.0,1.0
fft,mpi,downloaded,4194304,1,508.905,1.4255,1.0,1.0
fft,mpi,downloaded,4194304,2,251.9186,1.2133,2.0201,1.0101
fft,mpi,downloaded,4194304,4,111.5974,1.4581,4.5602,1.14
fft,mpi,downloaded,4194304,8,58.8257,6.571,8.6511,1.0814
fft,mpi,downloaded,4194304,16,20.7699,1.5212,24.502,1.5314
fft,mpi,downloaded,4194304,32,13.7975,6.5008,36.8838,1.1526
fft,openmp,downloaded,4194304,1,565.4877,11.5605,1.0879,1.0879
fft,openmp,downloaded,4194304,2,479.6448,1.0717,1.2826,0.6413
fft,openmp,downloaded,4194304,4,443.0893,9.9853,1.3884,0.3471
fft,openmp,downloaded,4194304,8,428.9411,12.4632,1.4342,0.1793
fft,openmp,downloaded,4194304,16,423.8699,7.5899,1.4513,0.0907
fft,openmp,downloaded,4194304,32,421.3012,6.1669,1.4602,0.0456
fft,pthreads,downloaded,4194304,1,392.8918,6.3359,1.5658,1.5658
fft,pthreads,downloaded,4194304,2,332.8229,1.6005,1.8484,0.9242
fft,pthreads,downloaded,4194304,4,302.7781,1.4115,2.0318,0.5079
fft,pthreads,downloaded,4194304,8,280.8562,2.4169,2.1904,0.2738
fft,pthreads,downloaded,4194304,16,268.129,4.449,2.2943,0.1434
fft,pthreads,downloaded,4194304,32,268.1761,2.4476,2.2939,0.0717
fir,baseline,downloaded,4194304,1,393.6303,1.9253,1.0,1.0
fir,mpi,downloaded,4194304,1,323.3193,0.5475,1.0,1.0
fir,mpi,downloaded,4194304,2,162.4238,0.3738,1.9906,0.9953
fir,mpi,downloaded,4194304,4,81.2063,0.1159,3.9815,0.9954
fir,mpi,downloaded,4194304,8,41.0119,0.0895,7.8835,0.9854
fir,mpi,downloaded,4194304,16,20.653,0.0281,15.6548,0.9784
fir,mpi,downloaded,4194304,32,17.5954,6.1822,18.3752,0.5742
fir,openmp,downloaded,4194304,1,360.587,1.3931,1.0916,1.0916
fir,openmp,downloaded,4194304,2,180.1155,0.8701,2.1854,1.0927
fir,openmp,downloaded,4194304,4,90.0953,0.3397,4.369,1.0923
fir,openmp,downloaded,4194304,8,45.5061,0.2241,8.6501,1.0813
fir,openmp,downloaded,4194304,16,23.555,0.172,16.7111,1.0444
fir,openmp,downloaded,4194304,32,12.7828,0.2663,30.7938,0.9623
fir,pthreads,downloaded,4194304,1,432.3547,3.5057,0.9104,0.9104
fir,pthreads,downloaded,4194304,2,224.4255,2.8715,1.7539,0.877
fir,pthreads,downloaded,4194304,4,123.936,1.9278,3.1761,0.794
fir,pthreads,downloaded,4194304,8,68.8895,3.045,5.7139,0.7142
fir,pthreads,downloaded,4194304,16,38.7479,4.4515,10.1588,0.6349
fir,pthreads,downloaded,4194304,32,33.1333,3.1271,11.8802,0.3713
fft,baseline,generated,8388608,1,1283.5612,13.7408,1.0,1.0
fft,mpi,generated,8388608,1,1054.2604,2.3474,1.0,1.0
fft,mpi,generated,8388608,2,516.7558,2.9905,2.0402,1.0201
fft,mpi,generated,8388608,4,252.9415,4.1838,4.168,1.042
fft,mpi,generated,8388608,8,137.2884,5.7239,7.6792,0.9599
fft,mpi,generated,8388608,16,56.9863,2.9785,18.5003,1.1563
fft,mpi,generated,8388608,32,22.2143,0.9419,47.4587,1.4831
fft,openmp,generated,8388608,1,1157.1229,8.4621,1.1093,1.1093
fft,openmp,generated,8388608,2,991.1663,4.9152,1.295,0.6475
fft,openmp,generated,8388608,4,912.473,7.5182,1.4067,0.3517
fft,openmp,generated,8388608,8,864.3212,3.7751,1.4851,0.1856
fft,openmp,generated,8388608,16,860.3356,10.667,1.4919,0.0932
