workload,middleware,input_type,n,p,mean_ms,std_ms,speedup,efficiency
fft,mpi,generated,536870912,32,4022.6934,75.7596,19.7022,0.6157
fft,openmp,generated,536870912,1,96383.5614,16277.47,0.9995,0.9995
fft,openmp,generated,536870912,2,73463.6797,5449.7622,1.3113,0.6557
fft,openmp,generated,536870912,4,64290.1401,49.2816,1.4984,0.3746
fft,openmp,generated,536870912,8,61756.5653,22.5337,1.5599,0.195
fft,openmp,generated,536870912,16,61391.8757,30.983,1.5692,0.0981
fft,openmp,generated,536870912,32,61196.7372,179.9967,1.5742,0.0492
fft,pthreads,generated,536870912,1,75813.2145,2029.5725,1.2707,1.2707
fft,pthreads,generated,536870912,2,62553.8098,88.5053,1.54,0.77
fft,pthreads,generated,536870912,4,57132.7177,287.6252,1.6861,0.4215
fft,pthreads,generated,536870912,8,53274.8815,109.5008,1.8082,0.226
fft,pthreads,generated,536870912,16,51506.198,227.7704,1.8703,0.1169
fft,pthreads,generated,536870912,32,51760.7413,280.9641,1.8611,0.0582
fir,baseline,generated,536870912,1,50090.6545,98.6466,1.0,1.0
fir,mpi,generated,536870912,1,41142.704,66.9424,1.0,1.0
fir,mpi,generated,536870912,2,20639.7783,18.6538,1.9934,0.9967
fir,mpi,generated,536870912,4,10322.015,2.0524,3.9859,0.9965
fir,mpi,generated,536870912,8,5165.4286,7.3992,7.965,0.9956
fir,mpi,generated,536870912,16,2596.2979,3.7024,15.8467,0.9904
fir,mpi,generated,536870912,32,1293.9952,1.4884,31.7951,0.9936
fir,openmp,generated,536870912,1,45490.2362,89.8761,1.1011,1.1011
fir,openmp,generated,536870912,2,22766.4173,12.229,2.2002,1.1001
fir,openmp,generated,536870912,4,11397.6425,4.6959,4.3948,1.0987
fir,openmp,generated,536870912,8,5702.8781,2.0409,8.7834,1.0979
fir,openmp,generated,536870912,16,2844.4617,1.7347,17.6099,1.1006
fir,openmp,generated,536870912,32,1427.9563,0.2918,35.0786,1.0962
fir,pthreads,generated,536870912,1,54138.2656,8.3794,0.9252,0.9252
fir,pthreads,generated,536870912,2,27173.1865,6.929,1.8434,0.9217
fir,pthreads,generated,536870912,4,14277.0503,4.084,3.5085,0.8771
fir,pthreads,generated,536870912,8,7337.0451,18.1617,6.8271,0.8534
fir,pthreads,generated,536870912,16,4171.7352,8.9704,12.0072,0.7504
fir,pthreads,generated,536870912,32,3697.0275,8.67,13.5489,0.4234
fft,baseline,downloaded,536870912,1,99056.4966,2122.8985,1.0,1.0
fft,mpi,downloaded,536870912,1,79288.9629,175.7369,1.0,1.0
fft,mpi,downloaded,536870912,2,38460.5141,72.1549,2.0616,1.0308
fft,mpi,downloaded,536870912,4,19827.3373,1157.0275,3.999,0.9997
fft,mpi,downloaded,536870912,8,10671.9607,1231.7094,7.4297,0.9287
fft,mpi,downloaded,536870912,16,5879.8153,25.2566,13.4849,0.8428
fft,mpi,downloaded,536870912,32,4946.0219,573.4721,16.0309,0.501
fft,openmp,downloaded,536870912,1,83615.3065,154.3025,1.1847,1.1847
fft,openmp,downloaded,536870912,2,70722.3433,88.528,1.4006,0.7003
fft,openmp,downloaded,536870912,4,64340.9826,41.8939,1.5396,0.3849
fft,openmp,downloaded,536870912,8,61755.9745,181.0073,1.604,0.2005
fft,openmp,downloaded,536870912,16,60798.8268,88.61,1.6293,0.1018
fft,openmp,downloaded,536870912,32,60511.5557,192.323,1.637,0.0512
fft,pthreads,downloaded,536870912,1,74200.7592,489.6584,1.335,1.335
fft,pthreads,downloaded,536870912,2,63116.8333,225.5223,1.5694,0.7847
fft,pthreads,downloaded,536870912,4,57859.1887,302.3073,1.712,0.428
fft,pthreads,downloaded,536870912,8,54135.063,387.5886,1.8298,0.2287
fft,pthreads,downloaded,536870912,16,52413.8323,384.2219,1.8899,0.1181
fft,pthreads,downloaded,536870912,32,52043.8295,372.287,1.9033,0.0595
fir,baseline,downloaded,536870912,1,49997.1302,59.1364,1.0,1.0
fir,mpi,downloaded,536870912,1,41206.0979,75.1748,1.0,1.0
fir,mpi,downloaded,536870912,2,20614.7919,44.5422,1.9989,0.9994
fir,mpi,downloaded,536870912,4,10595.4656,8.7979,3.889,0.9723
fir,mpi,downloaded,536870912,8,5285.4951,13.3164,7.7961,0.9745
fir,mpi,downloaded,536870912,16,2622.4871,20.1076,15.7126,0.982
fir,mpi,downloaded,536870912,32,1311.0078,2.4091,31.4309,0.9822
fir,openmp,downloaded,536870912,1,45478.8216,81.3505,1.0993,1.0993
fir,openmp,downloaded,536870912,2,22774.1536,5.8845,2.1953,1.0977
fir,openmp,downloaded,536870912,4,11379.9423,22.828,4.3934,1.0984
fir,openmp,downloaded,536870912,8,5701.03,2.1813,8.7698,1.0962
fir,openmp,downloaded,536870912,16,2843.8954,0.8132,17.5805,1.0988
fir,openmp,downloaded,536870912,32,1427.7143,1.3783,35.019,1.0943
fir,pthreads,downloaded,536870912,1,54143.0405,15.0098,0.9234,0.9234
fir,pthreads,downloaded,536870912,2,27193.9582,30.1423,1.8385,0.9193
fir,pthreads,downloaded,536870912,4,14283.3992,2.903,3.5004,0.8751
