workload,variant,threads,n,elapsed_time_s,cpu_time_s,top_hotspot_fn,top_hotspot_pct,second_hotspot_fn,second_hotspot_pct,physical_core_util_pct,filename
fir,pthreads,16,33554432,0.482,4.31,fir_thread,99.8,_IO_fread,0.2,16.2,fir_pthreads_t16_n33554432_summary.txt
fir,pthreads,16,4194304,0.214,0.61,fir_thread,100.0,,,6.2,fir_pthreads_t16_n4194304_summary.txt
fir,pthreads,16,536870912,5.361,68.37,fir_thread,100.0,cfree,0.0,22.3,fir_pthreads_t16_n536870912_summary.txt
fir,pthreads,16,67108864,0.805,8.48,fir_thread,99.9,_IO_fread,0.1,18.9,fir_pthreads_t16_n67108864_summary.txt
fir,pthreads,16,8388608,0.301,1.21,fir_thread,99.2,_IO_fread,0.8,7.2,fir_pthreads_t16_n8388608_summary.txt
fir,pthreads,1,1048576,0.291,0.11,fir_thread,100.0,,,1.2,fir_pthreads_t1_n1048576_summary.txt
fir,pthreads,1,134217728,13.979,13.61,fir_thread,99.9,_IO_fread,0.1,1.7,fir_pthreads_t1_n134217728_summary.txt
fir,pthreads,1,16777216,1.896,1.71,fir_thread,99.4,_IO_fread,0.6,1.7,fir_pthreads_t1_n16777216_summary.txt
fir,pthreads,1,2097152,0.393,0.22,fir_thread,100.0,,,1.4,fir_pthreads_t1_n2097152_summary.txt
fir,pthreads,1,268435456,27.741,27.17,fir_thread,99.9,_IO_fread,0.0,1.7,fir_pthreads_t1_n268435456_summary.txt
fir,pthreads,1,33554432,3.625,3.41,fir_thread,99.7,_IO_fread,0.3,1.7,fir_pthreads_t1_n33554432_summary.txt
fir,pthreads,1,4194304,0.618,0.44,fir_thread,100.0,,,1.5,fir_pthreads_t1_n4194304_summary.txt
fir,pthreads,1,536870912,56.488,55.28,fir_thread,99.9,cfree,0.0,1.7,fir_pthreads_t1_n536870912_summary.txt
fir,pthreads,1,67108864,7.071,6.81,fir_thread,99.9,_IO_fread,0.1,1.7,fir_pthreads_t1_n67108864_summary.txt
fir,pthreads,1,8388608,1.029,0.87,fir_thread,98.9,_IO_fread,1.1,1.6,fir_pthreads_t1_n8388608_summary.txt
fir,pthreads,2,1048576,0.23,0.12,fir_thread,100.0,,,1.7,fir_pthreads_t2_n1048576_summary.txt
fir,pthreads,2,134217728,7.49,14.27,fir_thread,99.9,_IO_fread,0.1,3.4,fir_pthreads_t2_n134217728_summary.txt
fir,pthreads,2,16777216,1.092,1.81,fir_thread,99.4,_IO_fread,0.6,3.1,fir_pthreads_t2_n16777216_summary.txt
fir,pthreads,2,2097152,0.301,0.24,fir_thread,100.0,,,1.9,fir_pthreads_t2_n2097152_summary.txt
fir,pthreads,2,268435456,14.813,28.53,fir_thread,99.9,_IO_fread,0.0,3.4,fir_pthreads_t2_n268435456_summary.txt
fir,pthreads,2,33554432,2.005,3.59,fir_thread,99.7,_IO_fread,0.3,3.2,fir_pthreads_t2_n33554432_summary.txt
fir,pthreads,2,4194304,0.405,0.46,fir_thread,100.0,,,2.4,fir_pthreads_t2_n4194304_summary.txt
fir,pthreads,2,536870912,30.24,58.01,fir_thread,99.9,cfree,0.0,3.4,fir_pthreads_t2_n536870912_summary.txt
fir,pthreads,2,67108864,3.834,7.15,fir_thread,99.9,_IO_fread,0.1,3.3,fir_pthreads_t2_n67108864_summary.txt
fir,pthreads,2,8388608,0.623,0.89,fir_thread,98.9,_IO_fread,1.1,2.7,fir_pthreads_t2_n8388608_summary.txt
fir,pthreads,32,1048576,0.192,0.21,fir_thread,100.0,,,3.8,fir_pthreads_t32_n1048576_summary.txt
fir,pthreads,32,134217728,1.345,29.26,fir_thread,99.9,_IO_fread,0.0,19.8,fir_pthreads_t32_n134217728_summary.txt
fir,pthreads,32,16777216,0.33,3.57,fir_thread,99.7,_IO_fread,0.3,11.2,fir_pthreads_t32_n16777216_summary.txt
fir,pthreads,32,2097152,0.216,0.31,fir_thread,100.0,,,4.5,fir_pthreads_t32_n2097152_summary.txt
fir,pthreads,32,268435456,2.41,59.33,fir_thread,100.0,_IO_fread,0.0,22.0,fir_pthreads_t32_n268435456_summary.txt
fir,pthreads,32,33554432,0.475,7.3,fir_thread,99.9,_IO_fread,0.1,14.6,fir_pthreads_t32_n33554432_summary.txt
fir,pthreads,32,4194304,0.216,0.78,fir_thread,100.0,,,5.9,fir_pthreads_t32_n4194304_summary.txt
fir,pthreads,32,536870912,4.907,120.88,fir_thread,100.0,cfree,0.0,21.7,fir_pthreads_t32_n536870912_summary.txt
fir,pthreads,32,67108864,0.744,14.65,fir_thread,99.9,_IO_fread,0.1,18.2,fir_pthreads_t32_n67108864_summary.txt
fir,pthreads,32,8388608,0.243,1.71,fir_thread,99.4,_IO_fread,0.6,8.5,fir_pthreads_t32_n8388608_summary.txt
fir,pthreads,4,1048576,0.206,0.13,fir_thread,100.0,,,2.1,fir_pthreads_t4_n1048576_summary.txt
fir,pthreads,4,134217728,4.007,14.64,fir_thread,99.9,_IO_fread,0.1,6.5,fir_pthreads_t4_n134217728_summary.txt
fir,pthreads,4,16777216,0.668,1.86,fir_thread,99.5,_IO_fread,0.5,5.2,fir_pthreads_t4_n16777216_summary.txt
fir,pthreads,4,2097152,0.231,0.24,fir_thread,100.0,,,2.7,fir_pthreads_t4_n2097152_summary.txt
fir,pthreads,4,268435456,7.832,29.25,fir_thread,100.0,_IO_fread,0.0,6.6,fir_pthreads_t4_n268435456_summary.txt
fir,pthreads,4,33554432,1.118,3.62,fir_thread,99.7,_IO_fread,0.3,5.9,fir_pthreads_t4_n33554432_summary.txt
fir,pthreads,4,4194304,0.297,0.48,fir_thread,100.0,,,3.3,fir_pthreads_t4_n4194304_summary.txt
fir,pthreads,4,536870912,15.978,59.41,fir_thread,99.9,cfree,0.0,6.5,fir_pthreads_t4_n536870912_summary.txt
fir,pthreads,4,67108864,2.097,7.34,fir_thread,99.9,_IO_fread,0.1,6.3,fir_pthreads_t4_n67108864_summary.txt
fir,pthreads,4,8388608,0.417,0.94,fir_thread,98.9,_IO_fread,1.1,4.4,fir_pthreads_t4_n8388608_summary.txt
fir,pthreads,8,1048576,0.191,0.16,fir_thread,100.0,,,2.7,fir_pthreads_t8_n1048576_summary.txt
fir,pthreads,8,134217728,2.187,14.67,fir_thread,99.9,_IO_fread,0.1,12.0,fir_pthreads_t8_n134217728_summary.txt
fir,pthreads,8,16777216,0.429,1.88,fir_thread,99.5,_IO_fread,0.5,8.3,fir_pthreads_t8_n16777216_summary.txt
fir,pthreads,8,2097152,0.217,0.31,fir_thread,100.0,,,3.3,fir_pthreads_t8_n2097152_summary.txt
fir,pthreads,8,268435456,4.162,29.3,fir_thread,99.9,_IO_fread,0.0,12.5,fir_pthreads_t8_n268435456_summary.txt
fir,pthreads,8,33554432,0.683,3.7,fir_thread,99.7,_IO_fread,0.3,9.9,fir_pthreads_t8_n33554432_summary.txt
fir,pthreads,8,4194304,0.243,0.49,fir_thread,100.0,,,4.6,fir_pthreads_t8_n4194304_summary.txt
fir,pthreads,8,536870912,8.57,59.47,fir_thread,99.9,cfree,0.0,12.2,fir_pthreads_t8_n536870912_summary.txt
fir,pthreads,8,67108864,1.18,7.38,fir_thread,99.9,_IO_fread,0.1,11.2,fir_pthreads_t8_n67108864_summary.txt
fir,pthreads,8,8388608,0.305,0.97,fir_thread,99.0,_IO_fread,1.0,6.2,fir_pthreads_t8_n8388608_summary.txt
