workload,variant,threads,n,elapsed_time_s,cpu_time_s,top_hotspot_fn,top_hotspot_pct,second_hotspot_fn,second_hotspot_pct,physical_core_util_pct,filename
fft,openmp,32,33554432,3.116,10.32,fft_parallel._omp_fn.0,64.9,bit_reverse,23.4,3.9,fft_openmp_t32_n33554432_summary.txt
fft,openmp,32,4194304,0.472,1.45,func@0x1fe10,37.8,fft_parallel._omp_fn.0,35.2,4.1,fft_openmp_t32_n4194304_summary.txt
fft,openmp,32,536870912,88.666,266.95,fft_parallel._omp_fn.0,68.9,bit_reverse,27.3,3.2,fft_openmp_t32_n536870912_summary.txt
fft,openmp,32,67108864,6.127,21.58,fft_parallel._omp_fn.0,68.7,bit_reverse,22.2,4.0,fft_openmp_t32_n67108864_summary.txt
fft,openmp,32,8388608,0.821,2.68,fft_parallel._omp_fn.0,47.0,func@0x1fe10,27.6,4.0,fft_openmp_t32_n8388608_summary.txt
fft,openmp,4,1048576,0.239,0.13,fft_parallel._omp_fn.0,53.8,bit_reverse,38.5,1.8,fft_openmp_t4_n1048576_summary.txt
fft,openmp,4,134217728,13.35,18.38,bit_reverse,56.3,fft_parallel._omp_fn.0,40.5,2.4,fft_openmp_t4_n134217728_summary.txt
fft,openmp,4,16777216,1.557,2.02,bit_reverse,52.5,fft_parallel._omp_fn.0,42.0,2.4,fft_openmp_t4_n16777216_summary.txt
fft,openmp,4,2097152,0.31,0.23,bit_reverse,43.5,fft_parallel._omp_fn.0,43.5,1.9,fft_openmp_t4_n2097152_summary.txt
fft,openmp,4,268435456,35.879,46.57,bit_reverse,61.0,fft_parallel._omp_fn.0,34.3,2.2,fft_openmp_t4_n268435456_summary.txt
fft,openmp,4,33554432,3.086,4.17,bit_reverse,53.7,fft_parallel._omp_fn.0,41.7,2.4,fft_openmp_t4_n33554432_summary.txt
fft,openmp,4,4194304,0.48,0.48,bit_reverse,45.8,fft_parallel._omp_fn.0,41.7,2.1,fft_openmp_t4_n4194304_summary.txt
fft,openmp,4,536870912,91.835,119.36,bit_reverse,61.1,fft_parallel._omp_fn.0,34.2,2.1,fft_openmp_t4_n536870912_summary.txt
fft,openmp,4,67108864,6.478,8.81,bit_reverse,55.7,fft_parallel._omp_fn.0,40.6,2.4,fft_openmp_t4_n67108864_summary.txt
fft,openmp,4,8388608,0.827,0.97,bit_reverse,50.5,fft_parallel._omp_fn.0,42.3,2.2,fft_openmp_t4_n8388608_summary.txt
fft,openmp,8,1048576,0.235,0.21,func@0x1fe10,61.9,bit_reverse,23.8,2.4,fft_openmp_t8_n1048576_summary.txt
fft,openmp,8,134217728,12.912,21.11,bit_reverse,49.5,fft_parallel._omp_fn.0,46.8,2.9,fft_openmp_t8_n134217728_summary.txt
fft,openmp,8,16777216,1.534,2.27,bit_reverse,47.1,fft_parallel._omp_fn.0,46.3,2.8,fft_openmp_t8_n16777216_summary.txt
fft,openmp,8,2097152,0.33,0.34,fft_parallel._omp_fn.0,41.2,bit_reverse,29.4,2.4,fft_openmp_t8_n2097152_summary.txt
fft,openmp,8,268435456,34.264,49.71,bit_reverse,57.1,fft_parallel._omp_fn.0,38.1,2.4,fft_openmp_t8_n268435456_summary.txt
fft,openmp,8,33554432,3.12,4.93,bit_reverse,48.7,fft_parallel._omp_fn.0,45.2,2.8,fft_openmp_t8_n33554432_summary.txt
fft,openmp,8,4194304,0.46,0.56,bit_reverse,39.2,fft_parallel._omp_fn.0,35.7,2.5,fft_openmp_t8_n4194304_summary.txt
fft,openmp,8,536870912,89.046,132.57,bit_reverse,55.2,fft_parallel._omp_fn.0,40.2,2.4,fft_openmp_t8_n536870912_summary.txt
fft,openmp,8,67108864,6.134,9.96,bit_reverse,48.4,fft_parallel._omp_fn.0,46.6,2.9,fft_openmp_t8_n67108864_summary.txt
fft,openmp,8,8388608,0.819,1.14,bit_reverse,45.6,fft_parallel._omp_fn.0,43.0,2.7,fft_openmp_t8_n8388608_summary.txt
fft,pthreads,16,1048576,0.242,0.11,fft_thread,54.5,bit_reverse,45.5,2.2,fft_pthreads_t16_n1048576_summary.txt
fft,pthreads,16,134217728,12.935,31.94,fft_thread,66.2,bit_reverse,32.2,4.4,fft_pthreads_t16_n134217728_summary.txt
fft,pthreads,16,16777216,1.599,3.45,fft_thread,64.9,bit_reverse,32.8,3.8,fft_pthreads_t16_n16777216_summary.txt
fft,pthreads,16,2097152,0.32,0.28,fft_thread,60.7,bit_reverse,35.7,2.5,fft_pthreads_t16_n2097152_summary.txt
fft,pthreads,16,268435456,35.224,94.68,fft_thread,68.9,bit_reverse,29.1,3.7,fft_pthreads_t16_n268435456_summary.txt
fft,pthreads,16,33554432,3.169,7.37,fft_thread,65.5,bit_reverse,32.6,4.2,fft_pthreads_t16_n33554432_summary.txt
fft,pthreads,16,4194304,0.469,0.62,fft_thread,61.3,bit_reverse,35.5,3.0,fft_pthreads_t16_n4194304_summary.txt
fft,pthreads,16,536870912,105.801,466.53,fft_thread,83.4,bit_reverse,15.4,3.2,fft_pthreads_t16_n536870912_summary.txt
fft,pthreads,16,67108864,6.411,15.59,fft_thread,66.2,bit_reverse,32.1,4.3,fft_pthreads_t16_n67108864_summary.txt
fft,pthreads,16,8388608,0.786,1.53,fft_thread,66.0,bit_reverse,31.4,3.8,fft_pthreads_t16_n8388608_summary.txt
fft,pthreads,1,1048576,0.277,0.09,bit_reverse,55.6,fft_thread,44.4,1.1,fft_pthreads_t1_n1048576_summary.txt
fft,pthreads,1,134217728,20.37,19.46,bit_reverse,59.2,fft_thread,37.2,1.6,fft_pthreads_t1_n134217728_summary.txt
fft,pthreads,1,16777216,2.232,1.98,bit_reverse,55.5,fft_thread,40.4,1.6,fft_pthreads_t1_n16777216_summary.txt
fft,pthreads,1,2097152,0.364,0.19,bit_reverse,52.5,fft_thread,42.1,1.3,fft_pthreads_t1_n2097152_summary.txt
fft,pthreads,1,268435456,46.648,44.85,bit_reverse,60.4,fft_thread,35.5,1.6,fft_pthreads_t1_n268435456_summary.txt
fft,pthreads,1,33554432,4.345,4.01,bit_reverse,56.4,fft_thread,40.1,1.6,fft_pthreads_t1_n33554432_summary.txt
fft,pthreads,1,4194304,0.599,0.41,bit_reverse,53.6,fft_thread,41.5,1.4,fft_pthreads_t1_n4194304_summary.txt
fft,pthreads,1,536870912,119.046,115.43,bit_reverse,61.5,fft_thread,33.9,1.6,fft_pthreads_t1_n536870912_summary.txt
fft,pthreads,1,67108864,8.99,8.47,bit_reverse,56.7,fft_thread,40.1,1.7,fft_pthreads_t1_n67108864_summary.txt
fft,pthreads,1,8388608,1.119,0.91,bit_reverse,54.9,fft_thread,40.7,1.5,fft_pthreads_t1_n8388608_summary.txt
fft,pthreads,2,1048576,0.251,0.1,fft_thread,50.0,bit_reverse,50.0,1.3,fft_pthreads_t2_n1048576_summary.txt
fft,pthreads,2,134217728,16.848,20.68,bit_reverse,53.3,fft_thread,43.5,2.1,fft_pthreads_t2_n134217728_summary.txt
fft,pthreads,2,16777216,1.866,2.14,bit_reverse,51.4,fft_thread,45.3,2.1,fft_pthreads_t2_n16777216_summary.txt
fft,pthreads,2,2097152,0.323,0.19,fft_thread,47.4,bit_reverse,47.3,1.5,fft_pthreads_t2_n2097152_summary.txt
fft,pthreads,2,268435456,40.608,49.28,bit_reverse,55.7,fft_thread,40.5,2.0,fft_pthreads_t2_n268435456_summary.txt
fft,pthreads,2,33554432,3.643,4.36,bit_reverse,51.6,fft_thread,45.2,2.1,fft_pthreads_t2_n33554432_summary.txt
fft,pthreads,2,4194304,0.523,0.45,bit_reverse,48.8,fft_thread,46.6,1.8,fft_pthreads_t2_n4194304_summary.txt
fft,pthreads,2,536870912,106.284,130.56,bit_reverse,54.1,fft_thread,41.8,1.9,fft_pthreads_t2_n536870912_summary.txt
fft,pthreads,2,67108864,7.708,9.36,bit_reverse,53.4,fft_thread,43.8,2.1,fft_pthreads_t2_n67108864_summary.txt
fft,pthreads,2,8388608,0.981,1.0,bit_reverse,50.0,fft_thread,46.0,1.9,fft_pthreads_t2_n8388608_summary.txt
fft,pthreads,32,1048576,0.257,0.08,bit_reverse,62.5,fft_thread,25.0,2.2,fft_pthreads_t32_n1048576_summary.txt
fft,pthreads,32,134217728,12.949,48.41,fft_thread,77.6,bit_reverse,21.3,4.2,fft_pthreads_t32_n134217728_summary.txt
fft,pthreads,32,16777216,1.609,4.95,fft_thread,75.6,bit_reverse,22.6,3.7,fft_pthreads_t32_n16777216_summary.txt
fft,pthreads,32,2097152,0.334,0.31,fft_thread,61.3,bit_reverse,28.9,2.4,fft_pthreads_t32_n2097152_summary.txt
fft,pthreads,32,268435456,36.605,187.6,fft_thread,84.1,bit_reverse,14.9,3.3,fft_pthreads_t32_n268435456_summary.txt
fft,pthreads,32,33554432,3.161,10.89,fft_thread,76.7,bit_reverse,21.9,4.0,fft_pthreads_t32_n33554432_summary.txt
fft,pthreads,32,4194304,0.472,0.72,fft_thread,63.9,bit_reverse,30.6,2.8,fft_pthreads_t32_n4194304_summary.txt
fft,pthreads,32,536870912,153.377,2396.63,fft_thread,96.8,bit_reverse,2.9,2.2,fft_pthreads_t32_n536870912_summary.txt
fft,pthreads,32,67108864,6.363,23.19,fft_thread,77.4,bit_reverse,21.5,4.1,fft_pthreads_t32_n67108864_summary.txt
fft,pthreads,32,8388608,0.807,2.16,fft_thread,70.8,bit_reverse,22.7,3.6,fft_pthreads_t32_n8388608_summary.txt
fft,pthreads,4,1048576,0.255,0.13,fft_thread,61.5,bit_reverse,38.5,1.6,fft_pthreads_t4_n1048576_summary.txt
fft,pthreads,4,134217728,14.741,22.28,fft_thread,49.4,bit_reverse,47.9,2.6,fft_pthreads_t4_n134217728_summary.txt
fft,pthreads,4,16777216,1.739,2.47,fft_thread,51.4,bit_reverse,45.7,2.6,fft_pthreads_t4_n16777216_summary.txt
fft,pthreads,4,2097152,0.322,0.23,fft_thread,56.5,bit_reverse,39.0,1.8,fft_pthreads_t4_n2097152_summary.txt
fft,pthreads,4,268435456,37.649,55.19,bit_reverse,50.5,fft_thread,46.2,2.5,fft_pthreads_t4_n268435456_summary.txt
fft,pthreads,4,33554432,3.46,5.09,fft_thread,50.5,bit_reverse,47.0,2.6,fft_pthreads_t4_n33554432_summary.txt
fft,pthreads,4,4194304,0.494,0.51,fft_thread,52.9,bit_reverse,43.1,2.2,fft_pthreads_t4_n4194304_summary.txt
fft,pthreads,4,536870912,98.489,153.29,fft_thread,50.8,bit_reverse,45.7,2.5,fft_pthreads_t4_n536870912_summary.txt
fft,pthreads,4,67108864,6.825,10.32,fft_thread,51.0,bit_reverse,46.4,2.7,fft_pthreads_t4_n67108864_summary.txt
fft,pthreads,4,8388608,0.89,1.15,fft_thread,53.0,bit_reverse,43.5,2.5,fft_pthreads_t4_n8388608_summary.txt
fft,pthreads,8,1048576,0.258,0.14,fft_thread,64.3,bit_reverse,35.7,1.8,fft_pthreads_t8_n1048576_summary.txt
fft,pthreads,8,134217728,13.829,26.03,fft_thread,57.0,bit_reverse,40.8,3.3,fft_pthreads_t8_n134217728_summary.txt
fft,pthreads,8,16777216,1.59,2.78,fft_thread,58.6,bit_reverse,38.8,3.2,fft_pthreads_t8_n16777216_summary.txt
