=== mpi ===
date: Tue Mar 24 04:27:23 PM EDT 2026
host: d0135

fft_mpi n=16777216 nprocs=32 chunk=524288 time_ms=95.5135
fft_mpi n=16777216 nprocs=32 chunk=524288 time_ms=95.5974
fft_mpi n=16777216 nprocs=32 chunk=524288 time_ms=94.6174
fft_mpi n=16777216 nprocs=32 chunk=524288 time_ms=92.8971
fir_mpi n=16777216 taps=101 nprocs=1 time_ms=1291.5148
fir_mpi n=16777216 taps=101 nprocs=1 time_ms=1290.9101
fir_mpi n=16777216 taps=101 nprocs=1 time_ms=1291.2931
fir_mpi n=16777216 taps=101 nprocs=1 time_ms=1291.9954
fir_mpi n=16777216 taps=101 nprocs=1 time_ms=1291.3167
fir_mpi n=16777216 taps=101 nprocs=2 time_ms=647.0869
fir_mpi n=16777216 taps=101 nprocs=2 time_ms=647.0272
fir_mpi n=16777216 taps=101 nprocs=2 time_ms=647.0400
fir_mpi n=16777216 taps=101 nprocs=2 time_ms=646.5123
fir_mpi n=16777216 taps=101 nprocs=2 time_ms=646.2373
fir_mpi n=16777216 taps=101 nprocs=4 time_ms=323.4798
fir_mpi n=16777216 taps=101 nprocs=4 time_ms=323.3686
fir_mpi n=16777216 taps=101 nprocs=4 time_ms=324.1352
fir_mpi n=16777216 taps=101 nprocs=4 time_ms=323.4956
fir_mpi n=16777216 taps=101 nprocs=4 time_ms=324.1587
fir_mpi n=16777216 taps=101 nprocs=8 time_ms=162.7231
fir_mpi n=16777216 taps=101 nprocs=8 time_ms=162.4952
fir_mpi n=16777216 taps=101 nprocs=8 time_ms=162.4460
fir_mpi n=16777216 taps=101 nprocs=8 time_ms=162.3151
fir_mpi n=16777216 taps=101 nprocs=8 time_ms=162.2851
fir_mpi n=16777216 taps=101 nprocs=16 time_ms=81.6057
fir_mpi n=16777216 taps=101 nprocs=16 time_ms=81.4650
fir_mpi n=16777216 taps=101 nprocs=16 time_ms=81.5356
fir_mpi n=16777216 taps=101 nprocs=16 time_ms=81.5342
fir_mpi n=16777216 taps=101 nprocs=16 time_ms=81.5706
fir_mpi n=16777216 taps=101 nprocs=32 time_ms=41.0575
fir_mpi n=16777216 taps=101 nprocs=32 time_ms=41.0921
fir_mpi n=16777216 taps=101 nprocs=32 time_ms=41.0844
fir_mpi n=16777216 taps=101 nprocs=32 time_ms=41.1474
fir_mpi n=16777216 taps=101 nprocs=32 time_ms=41.0948

--- dataset: data/input_large.bin (n=67108864) ---
fft_mpi n=67108864 nprocs=1 chunk=67108864 time_ms=9257.6875
fft_mpi n=67108864 nprocs=1 chunk=67108864 time_ms=9335.1609
fft_mpi n=67108864 nprocs=1 chunk=67108864 time_ms=9271.4320
fft_mpi n=67108864 nprocs=1 chunk=67108864 time_ms=9334.6719
fft_mpi n=67108864 nprocs=1 chunk=67108864 time_ms=9255.3675
fft_mpi n=67108864 nprocs=2 chunk=33554432 time_ms=4622.2236
fft_mpi n=67108864 nprocs=2 chunk=33554432 time_ms=4605.4259
fft_mpi n=67108864 nprocs=2 chunk=33554432 time_ms=4622.6561
fft_mpi n=67108864 nprocs=2 chunk=33554432 time_ms=4622.4696
fft_mpi n=67108864 nprocs=2 chunk=33554432 time_ms=4609.2796
fft_mpi n=67108864 nprocs=4 chunk=16777216 time_ms=2293.4132
fft_mpi n=67108864 nprocs=4 chunk=16777216 time_ms=2279.4931
fft_mpi n=67108864 nprocs=4 chunk=16777216 time_ms=2293.7118
fft_mpi n=67108864 nprocs=4 chunk=16777216 time_ms=2281.9782
fft_mpi n=67108864 nprocs=4 chunk=16777216 time_ms=2293.3786
fft_mpi n=67108864 nprocs=8 chunk=8388608 time_ms=1162.3890
fft_mpi n=67108864 nprocs=8 chunk=8388608 time_ms=1155.5298
fft_mpi n=67108864 nprocs=8 chunk=8388608 time_ms=1134.0185
fft_mpi n=67108864 nprocs=8 chunk=8388608 time_ms=1143.3968
fft_mpi n=67108864 nprocs=8 chunk=8388608 time_ms=1154.9037
fft_mpi n=67108864 nprocs=16 chunk=4194304 time_ms=670.5729
fft_mpi n=67108864 nprocs=16 chunk=4194304 time_ms=667.9324
fft_mpi n=67108864 nprocs=16 chunk=4194304 time_ms=669.5952
fft_mpi n=67108864 nprocs=16 chunk=4194304 time_ms=661.1825
fft_mpi n=67108864 nprocs=16 chunk=4194304 time_ms=657.3444
fft_mpi n=67108864 nprocs=32 chunk=2097152 time_ms=454.6422
fft_mpi n=67108864 nprocs=32 chunk=2097152 time_ms=456.5669
fft_mpi n=67108864 nprocs=32 chunk=2097152 time_ms=453.3241
fft_mpi n=67108864 nprocs=32 chunk=2097152 time_ms=455.2667
fft_mpi n=67108864 nprocs=32 chunk=2097152 time_ms=452.9056
fir_mpi n=67108864 taps=101 nprocs=1 time_ms=5158.3888
fir_mpi n=67108864 taps=101 nprocs=1 time_ms=5156.2740
fir_mpi n=67108864 taps=101 nprocs=1 time_ms=5135.9010
fir_mpi n=67108864 taps=101 nprocs=1 time_ms=5158.9322
fir_mpi n=67108864 taps=101 nprocs=1 time_ms=5144.3854
fir_mpi n=67108864 taps=101 nprocs=2 time_ms=2580.3527
fir_mpi n=67108864 taps=101 nprocs=2 time_ms=2581.1353
fir_mpi n=67108864 taps=101 nprocs=2 time_ms=2580.6796
fir_mpi n=67108864 taps=101 nprocs=2 time_ms=2581.4373
fir_mpi n=67108864 taps=101 nprocs=2 time_ms=2574.0555
fir_mpi n=67108864 taps=101 nprocs=4 time_ms=1290.9237
fir_mpi n=67108864 taps=101 nprocs=4 time_ms=1291.8165
fir_mpi n=67108864 taps=101 nprocs=4 time_ms=1292.2995
fir_mpi n=67108864 taps=101 nprocs=4 time_ms=1292.2418
fir_mpi n=67108864 taps=101 nprocs=4 time_ms=1291.2382
fir_mpi n=67108864 taps=101 nprocs=8 time_ms=646.8325
fir_mpi n=67108864 taps=101 nprocs=8 time_ms=647.1972
fir_mpi n=67108864 taps=101 nprocs=8 time_ms=646.4050
fir_mpi n=67108864 taps=101 nprocs=8 time_ms=647.6197
fir_mpi n=67108864 taps=101 nprocs=8 time_ms=646.9360
fir_mpi n=67108864 taps=101 nprocs=16 time_ms=324.6521
fir_mpi n=67108864 taps=101 nprocs=16 time_ms=324.3712
fir_mpi n=67108864 taps=101 nprocs=16 time_ms=324.1970
fir_mpi n=67108864 taps=101 nprocs=16 time_ms=324.7854
fir_mpi n=67108864 taps=101 nprocs=16 time_ms=324.8631
fir_mpi n=67108864 taps=101 nprocs=32 time_ms=162.1965
fir_mpi n=67108864 taps=101 nprocs=32 time_ms=162.4405
fir_mpi n=67108864 taps=101 nprocs=32 time_ms=162.4268
fir_mpi n=67108864 taps=101 nprocs=32 time_ms=162.4445
fir_mpi n=67108864 taps=101 nprocs=32 time_ms=162.2291

